City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Hilo,US,1561649047,73.4,88,90,3.36,19.71,-155.08
Paamiut,GL,1561649047,39.55,93,97,4.99,61.99,-49.67
Bredasdorp,ZA,1561649047,66.99,59,33,5.82,-34.53,20.04
Bereda,ES,1561649047,75.99,88,75,4.7,43.27,-7.54
Kapaa,US,1561649048,78.8,88,40,10.29,22.08,-159.32
Mataura,NZ,1561649048,44.01,90,83,5.01,-46.19,168.86
Khatanga,RU,1561649049,59.71,33,100,11.16,71.98,102.47
Medicine Hat,CA,1561649049,69.01,63,75,4.7,50.04,-110.68
Fortuna,US,1561649049,55.99,93,1,5.82,40.6,-124.16
Kurilsk,RU,1561649050,47.11,85,100,10.31,45.23,147.88
Kindu,CD,1561649050,75.01,84,91,3.56,-2.95,25.92
Khorixas,NA,1561649050,73.03,38,0,21.16,-20.37,14.96
Plettenberg Bay,ZA,1561649043,62.95,35,0,4.25,-34.05,23.37
Nouadhibou,MR,1561649051,80.6,51,0,19.46,20.93,-17.03
Lebu,ET,1561649051,68.0,64,40,11.41,8.96,38.73
Den Helder,NL,1561648908,69.01,67,75,11.41,52.96,4.76
Yumen,CN,1561649051,73.75,27,46,14.12,40.29,97.04
Vaini,IN,1561649052,73.4,88,75,13.87,15.34,74.49
Hobart,AU,1561648819,57.0,62,0,10.29,-42.88,147.33
Tual,ID,1561649052,78.25,84,33,16.8,-5.67,132.75
Los Llanos de Aridane,ES,1561649032,75.2,64,75,8.05,28.66,-17.92
Novoagansk,RU,1561649052,50.17,79,100,13.11,61.94,76.66
Esperance,AU,1561649053,50.0,93,75,10.29,-33.86,121.89
Luderitz,NA,1561649053,57.2,76,0,11.41,-26.65,15.16
Kaili,ID,1561649053,61.51,95,88,3.0,-3.46,120.21
Hailey,US,1561649038,64.0,51,40,6.93,43.52,-114.32
New Norfolk,AU,1561649054,57.0,62,0,10.29,-42.78,147.06
Cape Town,ZA,1561648935,59.0,67,20,24.16,-33.93,18.42
Barrow,AR,1561649054,48.37,51,100,24.02,-38.31,-60.23
Helong,CN,1561649054,77.89,88,18,3.09,25.94,116.13
Castro,CL,1561649055,39.2,93,90,6.93,-42.48,-73.76
East London,ZA,1561649055,66.2,63,0,10.29,-33.02,27.91
La Paz,MX,1561649055,91.0,26,5,5.82,24.15,-110.32
Hithadhoo,MV,1561649056,83.83,71,100,6.4,-0.6,73.08
Port Elizabeth,US,1561649056,89.01,58,1,3.36,39.31,-74.98
Hermanus,ZA,1561649056,66.99,29,0,8.01,-34.42,19.24
Kungurtug,RU,1561649056,44.95,89,3,2.98,50.6,97.53
Yellowknife,CA,1561649057,53.01,53,20,10.29,62.45,-114.38
Thompson,CA,1561649057,59.0,72,40,4.7,55.74,-97.86
Mogadishu,SO,1561649058,82.4,65,20,14.99,2.04,45.34
Tiksi,RU,1561649058,49.81,75,100,11.7,71.64,128.87
Ribeira Grande,PT,1561649058,71.6,46,20,16.11,38.52,-28.7
Zwiesel,DE,1561649059,90.0,42,0,4.0,49.01,13.23
Rikitea,PF,1561649059,73.93,84,100,15.39,-23.12,-134.97
Puerto Ayora,EC,1561649059,75.2,78,40,20.8,-0.74,-90.35
Bakchar,RU,1561649060,62.95,94,82,2.8,57.02,82.07
Poum,MK,1561649060,78.8,61,40,5.82,41.28,20.71
Bintulu,MY,1561648971,75.2,100,90,4.7,3.17,113.03
Beringovskiy,RU,1561649061,43.15,89,33,3.87,63.05,179.32
Zadar,HR,1561649061,95.0,30,0,12.75,44.12,15.24
Punta Arenas,CL,1561649064,32.0,74,20,12.75,-53.16,-70.91
Port Alfred,ZA,1561649065,59.0,77,0,4.0,-33.59,26.89
Provideniya,RU,1561649065,46.39,97,100,2.28,64.42,-173.23
Saint-Augustin,CA,1561649066,79.0,64,20,9.17,45.63,-73.98
Korop,UA,1561649069,74.47,84,68,13.18,51.57,32.95
Saldanha,PT,1561649069,84.55,39,74,10.04,41.42,-6.55
Ust-Ilimsk,RU,1561649070,66.37,53,3,4.05,57.96,102.73
Sambava,MG,1561649070,70.87,81,13,2.95,-14.27,50.17
Puerto Carreno,CO,1561649071,86.0,70,0,6.93,6.19,-67.49
Inhambane,MZ,1561649071,68.0,88,75,4.7,-23.87,35.38
Bayir,TR,1561649074,91.4,43,20,10.29,37.27,28.22
Petauke,ZM,1561649074,70.69,41,100,6.71,-14.25,31.33
Kieta,PG,1561649075,81.13,76,100,1.54,-6.22,155.63
Atuona,PF,1561649075,80.23,77,21,19.1,-9.8,-139.03
Sorland,NO,1561649075,50.0,71,75,20.8,67.67,12.69
Camacha,PT,1561649076,71.6,64,20,13.87,33.08,-16.33
Meulaboh,ID,1561649076,85.09,66,0,3.74,4.14,96.13
Busselton,AU,1561649076,46.0,98,67,25.08,-33.64,115.35
Bluff,AU,1561649077,59.53,80,0,19.48,-23.58,149.07
Ushuaia,AR,1561648832,30.2,68,75,11.41,-54.81,-68.31
Xining,CN,1561649077,42.79,97,100,1.86,36.62,101.77
Clyde River,CA,1561649077,44.6,75,75,12.75,70.47,-68.59
Nortelandia,BR,1561649078,87.97,36,0,8.86,-14.45,-56.8
Arraial do Cabo,BR,1561649078,80.6,78,40,10.29,-22.97,-42.02
